Company,ESG Risk Rating,Score
AIMCo Realty Investors LP,Medium ESG Risk,28.5
AIMS APAC REIT,Low ESG Risk,12.4
"Ain Holdings, Inc.",Low ESG Risk,16.9
"Aiphone Co., Ltd.",Low ESG Risk,19.4
Air Arabia PJSC,High ESG Risk,35.3
Air Canada,Medium ESG Risk,25.7
Air China Ltd.,Medium ESG Risk,28.5
Air France-KLM SA,Medium ESG Risk,30.0
Air Lease Corp.,Low ESG Risk,14.0
Air Liquide SA,Low ESG Risk,15.9
Air New Zealand Ltd.,High ESG Risk,30.6
"Air Products & Chemicals, Inc.",Low ESG Risk,15.1
"Air Transport Services Group, Inc.",Medium ESG Risk,23.6
"Air Water, Inc.",Medium ESG Risk,22.2
"Airbnb, Inc.",Medium ESG Risk,24.3
Airbus SE,Medium ESG Risk,25.6
Aircastle Ltd.,Medium ESG Risk,21.7
Airport Authority Hong Kong,Low ESG Risk,10.3
Airport City Ltd.,Medium ESG Risk,24.4
"Airport Facilities Co., Ltd.",Medium ESG Risk,23.5
Airports of Thailand Public Co. Ltd.,Low ESG Risk,17.1
"AirSculpt Technologies, Inc.",High ESG Risk,33.1
Airservices Australia,Low ESG Risk,19.3
Airtac International Group,High ESG Risk,34.1
Airtel Africa Plc,Medium ESG Risk,23.9
AirTrip Corp.,High ESG Risk,39.8
"Aisan Industry Co., Ltd.",Medium ESG Risk,23.4
Aisin Corp.,Medium ESG Risk,25.6
Aisino Corp.,Medium ESG Risk,25.1
AIXTRON SE,Medium ESG Risk,21.3
AJ Bell Plc,Medium ESG Risk,24.6
Ajanta Pharma Ltd.,High ESG Risk,32.3
"Ajinomoto Co., Inc.",Medium ESG Risk,27.2
Ajman Bank PJSC,High ESG Risk,38.0
AK Medical Holdings Ltd.,Medium ESG Risk,23.2
"Akamai Technologies, Inc.",Low ESG Risk,15.1
"Akatsuki, Inc.",Medium ESG Risk,24.1
Akbank TAS,Low ESG Risk,17.9
