,Company Name,Date,Environment,Social,Governance,ESG_ratings,Final_ESG_Score,Historical_esg_score
11,Fidelity Investments,2023-10-30,50.0,-1.0,-1.0,-1.0,50.0,51.10916666666667
10,J.P. Morgan Cazenove,2023-11-27,48.75,-1.0,-1.0,-1.0,48.75,65.63625
9,Bloomberg L.P.,2023-11-28,60.5375,-1.0,-1.0,-1.0,60.5375,60.5375
8,Impact Coatings AB,2023-11-29,-1.0,-1.0,53.2,-1.0,53.2,53.2
7,"BlackRock, Inc.",2023-12-19,-1.0,-1.0,31.0075,19.6,50.6075,50.6075
6,Exxon Mobil Corporation,2024-01-23,-1.0,44.3425,-1.0,-1.0,44.3425,49.394999999999996
5,MSCI Inc.,2024-02-07,47.5,-1.0,-1.0,-1.0,47.5,47.69886363636363
4,European Union,2024-02-07,-1.0,-1.0,58.53454545454545,-1.0,58.53454545454545,58.05420454545454
3,Novartis International AG,2024-02-08,-1.0,50.0,-1.0,-1.0,50.0,50.0
2,Pensioenfonds Zorg en Welzijn,2024-02-14,42.599999999999994,-1.0,-1.0,-1.0,42.599999999999994,42.599999999999994
1,Barclays PLC,2024-02-14,49.581590909090906,-1.0,-1.0,23.8,73.3815909090909,75.45545454545456
0,J.P. Morgan Asset Management,2024-02-15,61.28833333333333,-1.0,-1.0,-1.0,61.28833333333333,61.28833333333333
9303,Pandox AB,2024-03-19,-1.0,-1.0,-1.0,14.2,14.2,14.2
9438,Pernod Ricard SA,2024-03-19,-1.0,-1.0,-1.0,18.2,18.2,18.2
9439,Perpetua Resources Corp.,2024-03-19,-1.0,-1.0,-1.0,44.2,44.2,44.2
9440,Perpetual Ltd.,2024-03-19,-1.0,-1.0,-1.0,22.0,22.0,22.0
9441,Perrigo Co. Plc,2024-03-19,-1.0,-1.0,-1.0,34.4,34.4,34.4
9442,Perseus Mining Ltd.,2024-03-19,-1.0,-1.0,-1.0,32.2,32.2,32.2
9443,Persimmon Plc,2024-03-19,-1.0,-1.0,-1.0,17.3,17.3,17.3
9444,Persistent Systems Ltd.,2024-03-19,-1.0,-1.0,-1.0,19.3,19.3,19.3
9445,"PERSOL Holdings Co., Ltd.",2024-03-19,-1.0,-1.0,-1.0,13.9,13.9,13.9
9446,Perú LNG SRL,2024-03-19,-1.0,-1.0,-1.0,29.4,29.4,29.4
9447,Perusahaan Penerbit SBSN Indonesia III,2024-03-19,-1.0,-1.0,-1.0,31.3,31.3,31.3
9437,Permian Resources Corp.,2024-03-19,-1.0,-1.0,-1.0,54.6,54.6,54.6
9448,Pet Center Comércio e Participações SA,2024-03-19,-1.0,-1.0,-1.0,20.1,20.1,20.1
9450,"Petco Health & Wellness Company, Inc.",2024-03-19,-1.0,-1.0,-1.0,16.5,16.5,16.5
9451,Petershill Partners PLC,2024-03-19,-1.0,-1.0,-1.0,19.0,19.0,19.0
9452,"PetIQ, Inc.",2024-03-19,-1.0,-1.0,-1.0,19.4,19.4,19.4
9453,Petkim Petrokimya Holding AS,2024-03-19,-1.0,-1.0,-1.0,26.7,26.7,26.7
9454,"PetMed Express, Inc.",2024-03-19,-1.0,-1.0,-1.0,25.3,25.3,25.3
9455,Petra Diamonds Ltd.,2024-03-19,-1.0,-1.0,-1.0,26.7,26.7,26.7
9456,"PetroChina Co., Ltd.",2024-03-19,-1.0,-1.0,-1.0,54.0,54.0,54.0
9457,Petrofac Ltd.,2024-03-19,-1.0,-1.0,-1.0,23.6,23.6,23.6
